APT,Aliases,Alleged Location,Allegiance/Affiliation,Targeted Sectors,TARGETED COUNTRIES,TOOL,INFO,REFERENCE
APT20,"APT8, Violin Panda, TH3Bug",CHINA,,"chemical & petrochemical, energy, it & engineering, financial institutions, government & defense, healthcare, high technology, pharmaceutical, telecommunications, transportation","THAILAND,UNITED STATES,CHINA","cakelog, candyclog, cettra, cookieclog, plugx, poison ivy","We’ve uncovered some new data and likely attribution regarding a series of APT watering hole attacks this past summer. Watering hole attacks are an increasingly popular component of APT campaigns, as many people are more aware of spear phishing and are less likely to open documents or click on links in unsolicited emails. Watering hole attacks offer a much better chance of success because they involve compromising legitimate websites and installing malware intended to compromise website visitors. These are often popular websites frequented by people who work in specific industries or have political sympathies to which the actors want to gain access. In contrast to many other APT campaigns, which tend to rely heavily on spear phishing to gain victims, “th3bug” is known for compromising legitimate websites their intended visitors are likely to frequent. Over the summer they compromised several sites, including a well-known Uyghur website written in that native language.",https://unit42.paloaltonetworks.com/recent-watering-hole-attacks-attributed-apt-group-th3bug-using-poison-ivy/
APT28,"SNAKEMACKEREL, Swallowtail, Group 74, Sednit, Sofacy, Pawn Storm, Fancy Bear, STRONTIUM, Tsar Team, Threat Group-4127, TG-4127",RUSSIA,"Intelligence Directorate of the Russian General Staff,  GRU units 26165 and Unit 74455","chemical & petrochemical, diplomatic/embassies, it & engineering, government & defense, media & entertainment, ngo/npo & think tanks","AFGHANISTAN, ARMENIA, BELGIUM, BULGARIA, CANADA, CHILE, CHINA, CROATIA, CYPRUS, FRANCE, GEORGIA, GERMANY, HUNGARY, IRAN, IRAQ, JAPAN, JORDAN, KAZAKHSTAN, MEXICO, MONGOLIA, NETHERLANDS, NORWAY, PAKISTAN, POLAND, SOUTH AFRICA, SOUTH KOREA, TAJIKISTAN, TURKEY, UGANDA, UNITED ARAB EMIRATES, UNITED KINGOM, UNITED STATES, UZBEKISTAN","advstoreshell, cannon, certutil, chopstick, computrace, coreshell, dealerschoice, downdelph, downrange, dropper, eviltoss, foozer, forfiles, hidedrv, jhuhugit, koadic, komplex, lojax, mimikatz, oldbait, pocodown, responder, sedkit, sednit, sedreco, seduploader, sofacy, sourface, usbstealer, winexe, winids, x-agent,  xtunnel, zebrocy","APT 28 is a threat group that has been attributed to Russia’s Main Intelligence Directorate of the Russian General Staff by a July 2018 U.S. Department of Justice indictment. This group reportedly compromised the Hillary Clinton campaign, the Democratic National Committee, and the Democratic Congressional Campaign Committee in 2016 in an attempt to interfere with the U.S. presidential election. APT 28 has been active since at least January 2007. (FireEye) APT28 likely seeks to collect intelligence about Georgia’s security and political dynamics by targeting officials working for the Ministry of Internal Affairs and the Ministry of Defense. APT28 has demonstrated interest in Eastern European governments and security organizations. These victims would provide the Russian government with an ability to predict policymaker intentions and gauge its ability to influence public opinion. APT28 appeared to target individuals affiliated with European security organizations and global multilateral institutions. The Russian government has long cited European security organizations like NATO and the OSCE as existential threats, particularly during periods of increased tension in Europe.",https://attack.mitre.org/groups/G0007/
APT29,"YTTRIUM, The Dukes, Cozy Bear, CozyDuke, Group 100, Iron Hemlock, Minidionis, CloudLook, Grizzly Steppe",RUSSIA,State-sponsored," energy, government & defense, law enforcement, media & entertainment, pharmaceutical, telecommunications, ngo/npo & think tanks, transportation, healthcare","AUSTRALIA, AZERBAIJAN, BELARUS, BELGIUM, BRAZIL, BULGARIA, CANADA,CHINA, CYPRUS, CZECH, FRANCE, GEORGIA, GERMANY, HUNGARY, INDIA, IRELAND, ISRAEL, JAPAN, KAZAKHSTAN, KYRGYZSTAN, LATVIA, LEBANON, LITHUANIA, LUXEMBOURG, MEXICO, MONTENEGRO, NETHERLANDS, NEW ZEALAND, PORTUGAL, ROMANIA, RUSSIA, SLOVENIA, SPAIN, SOUTH KOREA, TURKEY, UGANDA, UNITED KINGDOM, UNITED STATES, UZBEKISTAN","ati-agent, cloudduke, cobalt strike, cosmicduke, cozyduke, cozycar, geminiduke, hammerduke, hammertoss, meek, mimikatz, miniduke, pinchduke, poshspy, powerduke, seadaddy, seaduke, tdiscoverer, wellmess, wellmail","The Dukes are a well-resourced, highly dedicated and organized cyberespionage group that we believe has been working for the Russian Federation since at least 2008 to collect intelligence in support of foreign and security policy decision-making. The Dukes primarily target Western governments and related organizations, such as government ministries and agencies, political think tanks, and governmental subcontractors. Their targets have also included the governments of members of the Commonwealth of Independent States; Asian, African, and Middle Eastern governments; organizations associated with Chechen extremism; and Russian speakers engaged in the illicit trade of controlled substances and drugs. The Dukes are known to employ a vast arsenal of malware toolsets, which we identify as MiniDuke, CosmicDuke, OnionDuke, CozyDuke, CloudDuke, SeaDuke, HammerDuke, PinchDuke, and GeminiDuke. In recent years, the Dukes have engaged in apparently biannual large-scale spear-phishing campaigns against hundreds or even thousands of recipients associated with governmental institutions and affiliated organizations. These campaigns utilize a smash-and-grab approach involving a fast but noisy break-in followed by the rapid collection and exfiltration of as much data as possible. If the compromised target is discovered to be of value, the Dukes will quickly switch the toolset used and move to using stealthier tactics focused on persistent compromise and long-term intelligence gathering. In addition to these large-scale campaigns, the Dukes continuously and concurrently engage in smaller, much more targeted campaigns, utilizing different toolsets. These targeted campaigns have been going on for at least 7 years. The targets and timing of these campaigns appear to align with the known foreign and security policy interests of the Russian Federation at those times.",https://www.f-secure.com/documents/996508/1030745/dukes_whitepaper.pdf
APT30,Override Panda,CHINA,State-sponsored,government & defense," BHUTAN, BRUNEI, CAMBODIA, INDIA, INDONESIA, JAPAN, LAOS, MALAYSIA, MYANMAR, NEPAL, PHILIPPINES, SAUDI ARABIA, SINGAPORE, SOUTH KOREA, THAILAND, VIETNAM,UNITED STATES","backbend, backspace, creamsicle, flashflood, gemcutter, milkmaid, neteagle, orangeade, shipshape, spaceship","APT 30 is a threat group suspected to be associated with the Chinese government. While Naikon shares some characteristics with APT 30, the two groups do not appear to be exact matches. (FireEye) When our Singapore-based FireEye labs team examined malware aimed predominantly at entities in Southeast Asia and India, we suspected that we were peering into a regionally focused cyber espionage operation. The malware revealed a decade-long operation focused on targets—government and commercial—who hold key political, economic, and military information about the region. This group, who we call APT30, stands out not only for their sustained activity and regional focus, but also for their continued success despite maintaining relatively consistent tools, tactics, and infrastructure since at least 2005. Based on our knowledge of APT30's targeting activity and tools, their objective appears to be data theft as opposed to financial gain. APT30 has not been observed to target victims or data that can be readily monetized (for example, credit card data, personally identifiable information, or bank transfer credentials). Instead, their tools include functionality that allows them to identify and steal documents, including what appears to be an interest in documents that may be stored on air-gapped networks. The group expresses a distinct interest in organizations and governments associated with ASEAN, particularly so around the time of official ASEAN meetings. Many of APT30’s decoy documents use topics related to Southeast Asia, India, border areas, and broader security and diplomatic issues. Decoy documents attached to spear phishing emails are frequently indicators of intended targeting because threat actors generally tailor these emails to entice their intended targets —who typically work on related issues—to click on the attachments and infect themselves. In addition to APT30’s Southeast Asia and India focus, we’ve observed APT30 target journalists reporting on issues traditionally considered to be focal points for the Chinese Communist Party’s sense of legitimacy, such as corruption, the economy, and human rights. In China, the Communist Party has the ultimate authority over the government. China-based threat groups have targeted journalists before; we believe they often do so to get a better understanding on developing stories to anticipate unfavorable coverage and better position themselves to shape public messaging.",https://www2.fireeye.com/rs/fireye/images/rpt-apt30.pdf
APT32,"SeaLotus, OceanLotus, APT-C-00, Ocean Buffalo",VIETNAM,State-sponsored,"government & defense, hospitality & retail, manufacturing, hospitality & retail, activists & dissidents, journalists","AUSTRALIA, BRUNEI, CAMBODIA, CHINA, GERMANY, INDONESIA, LAOS, MALAYSIA, MYANMAR, PHILIPPINES, SINGAPORE, THAILAND, UNITED STATES,VIETNAM","cactustorch, cobalt strike, cuegoe, denis, fingerprintjs2, goopy, kerrdown, komprogo, mimikatz, nishang, osx_oceanlotus.d, phoreal, powersploit, salgorea, soundbite, terracotta vpn, windshield","Since at least 2014, FireEye has observed APT32 targeting foreign corporations with a vested interest in Vietnam’s manufacturing, consumer products, and hospitality sectors. Furthermore, there are indications that APT32 actors are targeting peripheral network security and technology infrastructure corporations. In addition to focused targeting of the private sector with ties to Vietnam, APT32 has also targeted foreign governments, as well as Vietnamese dissidents and journalists since at least 2013.",https://www.fireeye.com/blog/threat-research/2017/05/cyber-espionage-apt32.html
APT33,"Elfin, Magnallium",IRAN,State-sponsored,"aviation & aerospace, government & defense, energy, chemical & petrochemical","UNITED STATES, SAUDI ARABIA, SOUTH KOREA","autoit backdoor, darkcomet, dropshot, empire, lazagne, mimikatz, nanocore rat, netwire rc, poshc2, powersploit, powerton, pupyrat, quasarrat, remcos, ruler, shamoon, shapeshift, turnedup","When discussing suspected Middle Eastern hacker groups with destructive capabilities, many automatically think of the suspected Iranian group that previously used SHAMOON – aka Disttrack – to target organizations in the Persian Gulf. However, over the past few years, we have been tracking a separate, less widely known suspected Iranian group with potential destructive capabilities, whom we call APT33. Our analysis reveals that APT33 is a capable group that has carried out cyber espionage operations since at least 2013. We assess APT33 works at the behest of the Iranian government. APT33 has targeted organizations – spanning multiple industries – headquartered in the United States, Saudi Arabia and South Korea. APT33 has shown particular interest in organizations in the aviation sector involved in both military and commercial capacities, as well as organizations in the energy sector with ties to petrochemical production. APT 33 seems to be closely related to OilRig, APT 34, Helix Kitten.",https://www.fireeye.com/blog/threat-research/2017/09/apt33-insights-into-iranian-cyber-espionage.html
APT37,"ScarCruft, Reaper, Group123, TEMP.Reaper, Ricochet Chollima,Red Eyes, Venus 121",NORTH KOREA,State-sponsored,"aviation & aerospace, automotive, chemical & petrochemical, financial institutions, government & defense, healthcare, manufacturing, high technology","CHINA, INDIA, JAPAN, KUWAIT, NEPAL, ROMANIA, RUSSIA, SOUTH KOREA, UNITED KINGDOM, VIETNAM","coraldeck, dogcall, final1stspy, freenki loader, happywork, karae, kevdroid, n1stagent, navrat, nokki, poohmilk loader, pooraim, rokrat, shutterspeed, slowdrift, winerack","Some research organizations link this group to Lazarus Group, Hidden Cobra, Labyrinth Chollima. (FireEye) Read our report, APT37 (Reaper): The Overlooked North Korean Actor, to learn more about our assessment that this threat actor is working on behalf of the North Korean government, as well as various other details about their operations: • Targeting: Primarily South Korea – though also Japan, Vietnam and the Middle East – in various industry verticals, including chemicals, electronics, manufacturing, aerospace, automotive, and healthcare. • Initial Infection Tactics: Social engineering tactics tailored specifically to desired targets, strategic web compromises typical of targeted cyberespionage operations, and the use of torrent file-sharing sites to distribute malware more indiscriminately. • Exploited Vulnerabilities: Frequent exploitation of vulnerabilities in Hangul Word Processor (HWP), as well as Adobe Flash. The group has demonstrated access to zero-day vulnerabilities (CVE-2018-0802), and the ability to incorporate them into operations. • Command and Control Infrastructure: Compromised servers, messaging platforms, and cloud service providers to avoid detection. The group has shown increasing sophistication by improving their operational security over time. • Malware: A diverse suite of malware for initial intrusion and exfiltration. Along with custom malware used for espionage purposes, APT37 also has access to destructive malware.",https://www2.fireeye.com/rs/848-DID-242/images/rpt_APT37.pdf
APT38,"Bluenoroff, Stardust Chollima, ",NORTH KOREA,,"financial institutions, government & defense, banking","SOUTH KOREA,PHILIPPINES,VIETNAM,ECUADOR,UNITED STATES,BANGLADESH,MEXICO,POLAND,TAIWAN,CHILE,INDIA","dimens, mbr killer, electricfish, duuzer","The Lazarus Group, a nation-state level of attacker tied to the 2014 attacks on Sony Pictures Entertainment, has splintered off a portion of its operation to concentrate on stealing money to fund itself. The group, widely believed to be North Korean, has been linked to a February 2016 attack against the Bangladesh Central bank that resulted in more than $850 million in fraudulent SWIFT network transactions, $80 million of which still has not been recovered.",https://threatpost.com/lazarus-apt-spinoff-linked-to-banking-hacks/124746/
APT39,Chafer,IRAN,State-sponsored,"aviation & aerospace, engineering, government & defense, high technology, it & electronics, shipping & logistics, telecommunications, transportation","ISRAEL, JORDAN, MIDDLE EAST, SAUDI ARABIA, SPAIN, TURKEY, UNITED ARAB EMIRATES,UNITED STATES","aspxspy, cachemoney, eternalblue, httptunnel, mechaflounder mimikatz, nbtscan, non-sucking service manager (nssm), plink, powbat, pwdump, remcom, remexi, seaweed, smb hacking tools, ultravnc, windows credential editor"," APT39 was created to bring together previous activities and methods used by this actor, and its activities largely align with a group publicly referred to as ""Chafer."" However, there are differences in what has been publicly reported due to the variances in how organizations track activity. APT39 primarily leverages the SEAWEED and CACHEMONEY backdoors along with a specific variant of the POWBAT backdoor. While APT39's targeting scope is global, its activities are concentrated in the Middle East. APT39 has prioritized the telecommunications sector, with additional targeting of the travel industry and IT firms that support it and the high-tech industry. APT39's focus on the telecommunications and travel industries suggests intent to perform monitoring, tracking, or surveillance operations against specific individuals, collect proprietary or customer data for commercial or operational purposes that serve strategic requirements related to national priorities, or create additional accesses and vectors to facilitate future campaigns. Government entities targeting suggests a potential secondary intent to collect geopolitical data that may benefit nation-state decision making. Targeting data supports the belief that APT39's key mission is to track or monitor targets of interest, collect personal information, including travel itineraries, and gather customer data from telecommunications firms.",https://www.fireeye.com/blog/threat-research/2019/01/apt39-iranian-cyber-espionage-group-focused-on-personal-information.html
APT41,"Barium, Winnti",CHINA,State-sponsored,"media & entertainment, software & game development, high technology","HONG KONG,FRANCE,INDIA,ITALY,JAPAN,MYANMAR,NETHERLANDS,SINGAPORE,SOUTH KOREA,SWITZERLAND,THAILAND,TURKEY,UNITED STATES,UNITED KINGDOM,SOUTH AFRICA","barlaiy, cobalt strike, plugxl, winnti","Barium begins its attacks by cultivating relationships with potential victims—particularly those working in Business Development or Human Resources—on various social media platforms. Once Barium has established rapport, they spear-phish the victim using a variety of unsophisticated malware installation vectors, including malicious shortcut (.lnk) files with hidden payloads, compiled HTML help (.chm) files, or Microsoft Office documents containing macros or exploits. Initial intrusion stages feature the Win32/Barlaiy implant—notable for its use of social network profiles, collaborative document editing sites, and blogs for C&C. Later stages of the intrusions rely upon Winnti for persistent access. The majority of victims recorded to date have been in electronic gaming, multimedia, and Internet content industries, although occasional intrusions against technology companies have occurred.",https://www.microsoft.com/security/blog/2017/01/25/detecting-threat-actors-in-recent-german-industrial-attacks-with-windows-defender-atp/
Axiom,Group 72,CHINA,State-sponsored,"aviation & aerospace, government & defense, manufacturing, media & entertainment","JAPAN, SOUTH KOREA, TAIWAN,UNITED STATES","cobalt strike, deputydog, derusbi, gh0st rat, hikit, hydraq, plugx, poison ivy, shadowpad winnti, zxshell","Group 72 is a long standing threat actor group involved in Operation SMN, named Axiom by Novetta. The group is sophisticated, well funded, and possesses an established, defined software development methodology. The group targets high profile organizations with high value intellectual property in the manufacturing, industrial, aerospace, defense, media sectors. Geographically, the group almost exclusively targets organizations based in United States, Japan, Taiwan, and Korea. The preferred tactics of the group include watering-hole attacks, spearphishing, and other web-based tactics. The tools and infrastructure used by the attackers are common to a number of other threat actor groups which may indicate some degree of overlap. We have seen similar patterns used in domain registration for malicious domains, and the same tactics used in other threat actor groups leading us to believe that this group may be part of a larger organization that comprises many separate teams, or that different groups share tactics, code and personnel from time to time. Though both this group and Winnti Group, Blackfly, Wicked Panda use the malware Winnti, the two groups appear to be distinct based on differences in reporting on the groups’ TTPs and targeting.",https://blogs.cisco.com/security/talos/threat-spotlight-group-72
BlackTech,,UNKNOWN,,"financial institutions, government & defense, healthcare, it & technology","HONG KONG, JAPAN,TAIWAN","bifrost, drigo, kivars, plead, xbow","BlackTech is a cyber espionage group operating against targets in East Asia, particularly Taiwan, and occasionally, Japan and Hong Kong. Based on the mutexes and domain names of some of their C&C servers, BlackTech’s campaigns are likely designed to steal their target’s technology. Following their activities and evolving tactics and techniques helped us uncover the proverbial red string of fate that connected three seemingly disparate campaigns: PLEAD, Shrouded Crossbow, and of late, Waterbear.",https://blog.trendmicro.com/trendlabs-security-intelligence/following-trail-blacktech-cyber-espionage-campaigns/
BlackOasis,,Middle East,,"media & entertainment, ngo/npo & think tanks, activists & dissidents","AFGHANISTAN, ANGOLA, BAHRAIN, IRAN, IRAQ, JORDAN, LIBYA, NETHERLANDS, NIGERIA, RUSSIA, SAUDI ARABIA, TUNISIA,UNITED KINGDOM","finfisher, finspy, wingbird","BlackOasis is a Middle Eastern threat group that is believed to be a customer of Gamma Group. The group has shown interest in prominent figures in the United Nations, as well as opposition bloggers, activists, regional news correspondents, and think tanks. A group known by Microsoft as Neodymium is reportedly associated closely with BlackOasis operations, but evidence that the group names are aliases has not been identified.",https://www.fireeye.com/blog/threat-research/2017/09/zero-day-used-to-distribute-finspy.html
Bronze Butler,"REDBALDKNIGHT, Tick",CHINA,,"infrastructure, government & defense, manufacturing , it & technology","JAPAN,CHINA,RUSSIA,SINGAPORE,SOUTH KOREA","daserf, datper, gsecdump, mimikatz, minzen, muirim, nioupale, rarstar, windows credential editor, xxmm","CTU analysis indicates that Bronze Bulter primarily targetsorganizations located in Japan. The threat group has sought unauthorized accessto networks of organizations associated with critical infrastructure, heavy industry,manufacturing, and international relations. Secureworks analysts have observed Bronze Bulter exfiltrating the following categories of data:
• Intellectual property related to technology and development
• Product specification
• Sensitive business and sales-related information
• Network and system configuration files
• Email messages and meeting minutes
The focus on intellectual property, product details, and corporate information suggests that the group seeks information that they believe might be of value to competing organizations. The diverse targeting suggests that Bronze Bulter may be tasked by multiple teams or organizations with varying priorities.",https://www.secureworks.com/research/bronze-butler-targets-japanese-businesses
Blind Eagle,APT-C-36,LATIN AMERICA,State-sponsored,"financial institutions, government & defense",COLOMBIA,imminent monitor rat,"Since April 2018, an APT group (Blind Eagle, APT-C-36) suspected coming from South America carried out continuous targeted attacks against Colombian government institutions as well as important corporations in financial sector, petroleum industry, professional manufacturing, etc. Till this moment, 360 Threat Intelligence Center captured 29 bait documents, 62 Trojan samples and multiple related malicious domains in total. Attackers are targeting Windows platform and aiming at government institutions as well as big companies in Colombia",https://ti.360.net/blog/articles/apt-c-36-continuous-attacks-targeting-colombian-government-institutions-and-corporations-en/
